Fiber_Oz,Specimen_ID,Crosshead (mm),Load (N),Flex Stress (MPa),F Strain (mm/mm)
10-Oz,1,0.00661100466459175,0.222283989191055,0.1749810200727487,9.387626623720285e-05
10-Oz,1,0.010482313882676,0.699825763702393,0.550899893651733,0.00014884885713399918
10-Oz,1,0.0135793607114465,1.13705146312714,0.8950821227262954,0.0001928269221025403
10-Oz,1,0.0168550832313485,1.60321128368378,1.2620411700907952,0.00023934218188514865
10-Oz,1,0.019713896108442,1.98970949649811,1.566290935360292,0.0002799373247398764
10-Oz,1,0.0225131516344845,2.36851072311401,1.8644816655126462,0.0003196867532096798
10-Oz,1,0.0256101975537604,2.78772068023682,2.194481978126049,0.00036366480526339766
10-Oz,1,0.0283498939097626,3.17617893218994,2.5002746779502845,0.00040256849351862886
10-Oz,1,0.0310895884467755,3.53972983360291,2.7864604163344002,0.000441472155944212
10-Oz,1,0.0340675214829389,3.94982862472534,3.1092884574468256,0.0004837588050577324
10-Oz,1,0.0367476568499114,4.31055402755737,3.3932499752484953,0.0005218167272687418
10-Oz,1,0.0395469105569646,4.6758017539978,3.680771447147518,0.0005615661299088972
10-Oz,1,0.0425248399551492,5.08319091796875,4.00146648117874,0.0006038527273631186
10-Oz,1,0.0452049789601006,5.42283201217651,4.268830520034535,0.0006419107012334285
10-Oz,1,0.0480042326671537,5.7834267616272,4.552689188044701,0.0006816601038735825
10-Oz,1,0.0509821620653383,6.17219829559326,4.858728502150036,0.0007239467013278038
10-Oz,1,0.0536623010702897,6.51917600631714,5.13186789462687,0.0007620046751981138
10-Oz,1,0.0566402304684743,6.89069938659668,5.424329534796165,0.000804291272652335
10-Oz,1,0.059618159866659,7.28043174743652,5.7311252077697175,0.0008465778701065577
10-Oz,1,0.0622387378825806,7.60189771652222,5.984181864679645,0.0008837900779326445
10-Oz,1,0.0652166709187441,7.57166194915771,5.96038039595768,0.0009260767270461661
10-Oz,1,0.0680754819768481,7.92333364486694,6.237214873644796,0.0009666718440712429
10-Oz,1,0.0706960563547909,8.25161743164063,6.4956384879233395,0.0010038840002380308
10-Oz,1,0.0736739893909544,8.64665508270264,6.8066104630148985,0.0010461706493515525
10-Oz,1,0.0764732467359863,9.01802444458008,7.098950860546757,0.0010859201036510053
10-Oz,1,0.0792129358160309,9.36458683013916,7.37176331080313,0.0011248236885876388
10-Oz,1,0.0821908688521944,9.76488780975342,7.686878555962869,0.0011671103377011605
10-Oz,1,0.0849305652081966,10.1163024902344,7.963510712344807,0.0012060140259563918
10-Oz,1,0.0876107005751692,10.4627866744995,8.236261602871929,0.0012440719481674027
10-Oz,1,0.0906481873244047,10.8567380905151,8.54637849830997,0.0012872042600065468
10-Oz,1,0.0933283299673349,11.2049045562744,8.820453673743874,0.0013252622855361555
10-Oz,1,0.0961275800364092,11.5667905807495,9.105328828014647,0.0013650116365170107
10-Oz,1,0.0991650740616024,11.9484491348267,9.405768834310008,0.001408144051674754
10-Oz,1,0.101904763141647,12.2989130020142,9.681652514471965,0.0014470476366113874
10-Oz,1,0.104763581475709,12.6639595031738,9.969015582677445,0.0014876428569550678
10-Oz,1,0.107801068224944,13.0525035858154,10.274875848058148,0.0015307751687942046
10-Oz,1,0.110421642602887,13.3775825500488,10.530776639531085,0.0015679873249609955
10-Oz,1,0.113280460936949,13.7237424850464,10.803272282400508,0.0016085825453046759
10-Oz,1,0.116258386697154,14.1037721633911,11.102430044579766,0.001650869091099587
10-Oz,1,0.118878968351055,14.4309682846069,11.359997453112182,0.001688081350584981
10-Oz,1,0.121797340398189,14.7852926254272,11.638920081858286,0.0017295222336542837
10-Oz,1,0.124715705169365,15.1595697402954,11.933549450297562,0.0017709630134049828
10-Oz,1,0.127395847812295,15.4695301055908,12.177548944363208,0.001809021038934589
10-Oz,1,0.130373780848458,15.8315877914429,12.46255922974695,0.0018513076880481035
10-Oz,1,0.133173030917533,16.1717357635498,12.730322280750075,0.0018910570390289687
10-Oz,1,0.135793612571433,16.4768886566162,12.970537352925223,0.0019282692985143485
10-Oz,1,0.138831092044711,16.8387432098389,13.255387733158658,0.001971401507034896
10-Oz,1,0.141630356665701,17.1825942993164,13.526065862559081,0.002011151064652954
10-Oz,1,0.144310484756716,17.4994716644287,13.775510389747486,0.002049208883545367
10-Oz,1,0.147347978781909,17.8622055053711,14.061052941570475,0.0020923412987031076
10-Oz,1,0.150147228850983,18.1901569366455,14.319214926999795,0.0021320906496839587
10-Oz,1,0.152946493471973,18.5091323852539,14.570311056679595,0.0021718402073020167
10-Oz,1,0.155983972945251,18.8735675811768,14.857192907977446,0.002214972415822564
10-Oz,1,0.158664115588181,19.1969356536865,15.111746892691443,0.00225303044135217
10-Oz,1,0.161403804668225,19.5168209075928,15.363559217269817,0.0022919340262887943
10-Oz,1,0.164381737704389,19.8828983306885,15.651733822881344,0.002334220675402323
10-Oz,1,0.167061880347319,20.1984424591064,15.900128831759258,0.00237227870093193
10-Oz,1,0.169861130416393,20.5274696350098,16.159137638829698,0.00241202805191278
10-Oz,1,0.172898624441586,20.8982810974121,16.45103886024449,0.0024551604670705208
